Name,Category,Followers,Description
Everdots,"Software Development • Dhaka, Dhaka",31 followers,We are great believers of the Agile methodology in software development. Everything is bound to change and we are prepared for that change. We love to develop in small steps – giving our customers something to look at and give us feedback in at every stage.
Enkaizen,"Software Development • Dhaka, Dhaka",1K followers,"...Application Development, Custom Software Development, Enterprise App Development, UI/UX Design, API Integration, PowerBI Integrations, Dedicated Remote Team"
Nextive Solution,"IT Services and IT Consulting • Dhaka, Dhaka",904 followers,Your Trusted Tech Partner • Specialties: Software Development
Beximco Computers Limited,"IT Services and IT Consulting • Dhaka, Bangladesh",1K followers,"...software design and development for sophisticated domains and important clients. We are also involved in consultancy work in the fields of data processing, which..."
Skygen Limited,"Information Technology & Services • Dhaka, Dhaka",883 followers,"...Equipment, Network and Server Solutions, CC Camera Surveillance systems, Web and Graphics Design, Software Development, Enterprise Resource Planning (ERP) Solutions..."
SOFTFY,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"SOFTFY is a software company that outsources web development and mobile application services. We specialize in the JavaScript framework for software development such as MEAN, MERN, React Native, or Flutter."
BRAINERY IT,Software Development • Khulna,970 followers,"...inventions change industries, and we consider you a collaborative partner in our journey. Transparency is the core of our partnerships, and our future-ready solutions are built to flourish in an ever-changing digital world. We transform data into actionable insights, generating actual change in business operations.  What..."
Solution Elevated Limited,"IT Services and IT Consulting • Dhaka, Dhaka",799 followers,"...to reach out to those 47.61 million people in Bangladesh. Which one would be more successful, we ask you.  Keeping this concept in mind, Solution Elevate operates..."
Vworker Group,"Business Consulting and Services • Portland, Oregon",722 followers,Vworker is a group of on-demand remote professionals in an agency style having Head-Office in USA and sub-offices at multiple locations including Pakistan.  We...
OLIVINE LIMITED,IT Services and IT Consulting • Dhaka,789 followers,Olivine... it's a color code #9CB770   The powerful influence of color rules our choices in everything from the food we eat to software we want to avail...
Renessa Info Systems Limited,IT Services and IT Consulting • Dhaka,1K followers,"Renessa Info Systems Limited is a provider of Information Technology Enabled Services. Those  include Software Development, ERP Implementation, BPO Services, Data Conversion Services, Website Designing, Development & maintenance, SEO, e-Marketing and Social Media, and many others. Our BPO Services include Data Entry..."
Japan Marketing & Consultancy Ltd.,IT Services and IT Consulting • Dhaka,987 followers,"Japan Marketing & Consultancy Ltd. (JMC) is a leading information and communication technology (ICT) company. We are providing IT outsourcing and offshoring services, web, mobile and software application development, SEO and Digital Marketing – DX: Digital Transformation consultancy, Ecommerce and consultancy services..."
Popularsoft Information Technology,"IT Services and IT Consulting • Kishoreganj, Fishery Link Road",975 followers,"Popularsoft is a software company based in the world.Our main aim is to include local, National and international software development and maintenance services."
Softology IT,Software Development • Dhaka,902 followers,"Softology IT is a software development company in Bangladesh, working on enterprise and customized web and mobile application development, graphics designing, digital marketing and seo."
BiTechX LLC,Design Services • Dhaka,896 followers,"We are BiTechX (Binary Technology Experts), a team of creative minds with zest for technology.   BiTechX is a US-based tech agency specializing in visual design, software development, and motion design/video editing services. Our team of innovative designers, skilled developers, and seasoned motion designers work hand..."
AppDevs,IT Services and IT Consulting • Dhaka,825 followers,"AppDevs - Software Solutions is a most rapidly growing, innovative IT services & Consulting company, Providing consulting, Development & maintenance covering information technology, Software development, System integration & custom applications development."
MetaDesign Solutions-Bangladesh,IT Services and IT Consulting • Dhaka,888 followers,...of software development to ensure we always deliver smart and high-quality solutions. Our software service spectrum covers software development in Mobile Apps Vertical...
RIoT Center,"Research Services • Dhaka, Dhaka",907 followers,"We are an Industrial automation research laboratory in Independent University, Bangladesh (IUB) with particular emphasis in the field of Internet of Things & Robotics. We have expertise in design and development of educational software design and development.  Our Lab also act as a learning and research hub..."
LearnUbd,"Software Development • Gobindganj, Rājshāhi, Bangladesh, Dhaka",885 followers,"Learnubd is a software development Company based and Incorporated in Bangladesh who is providing service in global market like UK, USA, Dubai. We employ highly qualified software development engineers in several countries; however, as a Bangladesh registered company, we can provide our clients with the security..."
Syntax Solution Limited,"Software Development • Gulshan-2, Dhaka",882 followers,"...products that drive growth and efficiency across diverse industries. 💼 From state-of-the-art software solutions to groundbreaking tech advancements, Syntax Solution Limited is dedicated to delivering excellence in every project we undertake. 💡"
MEDIA365 LIMITED,IT Services and IT Consulting,853 followers,"Media365 Limited is a leading software development company based in Dhaka, dedicated to transforming business ideas into operational products through cutting-edge technology. Our mission is to create reliable and scalable software solutions tailored to meet our clients' goals and needs. From the very start, client..."
CodersBucket,Software Development • Dhaka,906 followers,"CodersBucket is a global software development company that offers a range of services, including custom solutions for businesses of all sizes. With a focus on cutting-edge cloud and mobile technologies, as well as e-commerce and website development and IT staff augmentation, we provide top-quality services..."
GREC - Graduate Resources Enhancing Center,"Education Management • Dhaka, Dhaka",872 followers,"GREC is a philanthropy-propelled for-profit company in Bangladesh primarily aiming on assisting students in their various test preparations including GRE, SAT, IELTS, TOEFL, GMAT etc. It currently has four branches in Bangladesh located at Banani, Lalmatia, Science Lab of Dhaka and Chawkbazar of Chittagong.     GREC..."
Codified Ventures,IT Services and IT Consulting • Dhaka,8 followers,"At Codified Ventures, we are your dedicated partner on the journey to digital excellence. As a versatile software development agency and coding tutorial platform, our mission is clear: to empower individuals and businesses with innovative solutions and coding wisdom.  We create tailored software solutions that bring..."
XeonBD,"Information Services • Dhaka, Dhaka",819 followers,"We were founded in 2005 and we have provided powerful, reliable web hosting ever since - all backed by responsive support. Maintaining data centers in Bangladesh, USA and Germany. Bangladesh data center is owned and engineered by team XeonBD.  We're not saying we are industry leaders, but we are offering the best..."
NSU Finance Club,"Education Administration Programs • Dhaka, Dhaka",783 followers,...-university skill development program. Develops and tests skills in the understanding and use of the most widely used data analysis software - Microsoft Excel.  Publications: Bull and Bear – An annual financial magazine that pursues the current trends of the financial system in the context of Bangladesh.
Brilliant Consulting Group,Business Consulting and Services • Dhaka,1K followers,"...and Taxation services for all, taking permissions, registrations and licensing services, company matters and secretarial functions, ITES, AI, Robotics, Software development, design and coding & verification for semiconductor industries, financial and legal due diligence services, software solutions, ERP implementation..."
"CodexShaper, LLC","Software Development • Newark, Delaware",588 followers,"...software solutions are up-to-date, scalable, and secure. In addition to software development, CodexShaper offers a range of related services, including software..."
TechnoVal Limited,"IT System Custom Software Development • Dhaka, Dhaka",822 followers,Established in 2016 under the private limited company act of Bangladesh with an aim to serve globally. Technoval already achieved the trust of different clients from different regions by serving quality services in terms of time and cost and has a strong belief to provide better and better services in the coming days.
Primacy Infotech Pvt. Ltd,"IT Services and IT Consulting • Kolkata, West Bengal",661 followers,"Primacy Infotech is the fastest growing IT Organization in Asia, and the leading Odoo ERP Development & Mobile App Development Company working since 2015. Our..."
WorldSoftZone,Software Development • Khulna,781 followers,"...technologies in a set of industries. By using a high-level overview, flexible website development, software development management methodologies and certified project..."
XCEED Bangladesh Ltd.,"Information Technology & Services • Chattogram, Chattogram",601 followers,"XceedBD is one of the leading web design and software development company in Chittagong, Bangladesh.   We specialize in website design services, online marketing, and branding. Our team takes pride in providing high-quality work that has made us a top web design company.    As a top web design company, we stand behind..."
Update Tech Ltd,"IT Services and IT Consulting • Dhaka, Dhaka",921 followers,...& Development E-Commerce Solution Mobile Application Development Customise Software Development Cloud Computing Software Testing & QA Search Engine...
Beyond Bracket Ltd.,"Software Development • Dhaka , Dhaka",893 followers,"Looking for a reliable custom software and web development agency to outsource your project? Our team of expert developers at Beyond Bracket Limited specializes in creating tailored software solutions for businesses of all sizes. We offer outsourcing services to clients around the world, delivering high-quality..."
SuperbNexus Limited,"IT Services and IT Consulting • Dhaka, Dhaka",779 followers,"...to digitalize home and offices in such a way that brings benefit to the lives and businesses.  The company majorly focuses on facilitating corporates, banks, and the government by providing different technology and marketing solutions. However, it also facilitates personal projects in very special cases.  SuperbNexus is..."
Trillion Bits Limited,"Information Technology & Services • Dhaka, Gulshan",830 followers,"...://www.attnd.xyz https://www.buildfaire.com https://provisitapp.com  Grow your team and expand your software development capabilities with a reliable tech partner by your side.  Custom Software Development: Build a custom solution, modernize your system, or solve a specific business issue with a reliable partner by your side..."
Lemon Hive,Software Development • London,767 followers,"- Expert Headless Web Development, Apps & Software Solutions -  Lemon Hive is a global website, app and software solutions company specialising in MACH/headless architectures. Our services include Headless Web Development, apps and Software Development The team has extensive experience working with headless..."
Softifybd Limited,"Information Technology & Services • Dhaka, Dhaka",729 followers,"Established In 2018, Softifybd Limited is a Software Development Company.   At SoftifyBD, we develop innovative and creative products and services that provide total communication and information solutions. Among a plethora of services, web design and development, tailor made applications, ERPs, CRMs, e-commerce..."
Codixel,Software Development • Dhaka,840 followers,"We are a dynamic and collaborative collective of highly skilled software engineers, designers, and digital marketers. Renowned for our ability to build ROI..."
Logic Software Limited,"Information Technology & Services • Dhaka, Dhaka",546 followers,...in Bangladesh and we are already recognized as one of the best ERP & Software solution provider in Bangladesh.    The company has the following six layers...
HeyDev,"IT Services and IT Consulting • Chittagong, Chittagong",813 followers,"Founded in 2018, HeyDev is a Development & Design company providing superior Software, Web solutions, and services to companies globally. HeyDev has highly..."
ThemeShaper.net,Software Development • Dhaka,784 followers,ThemeShaper is a reputed software development & Digital Adversiting company in Bangladesh managed by professional Software Engineers and Expert Digital...
Soft Valley,Software Development • Dhaka,718 followers,"SoftValley, one of the best and most dedicated IT companies in Bangladesh, leads the development of our specialized software, web, and mobile applications! Our main goal is to help businesses with digital transformation by providing unmatched quality, efficient communication, and competitive pricing."
Mercury IT International Limited,"Information Technology & Services • Dhaka, Dhaka",925 followers,"Mercury IT International Limited is a USA based software company. We have a unique culture of working together while having fun. Team members help out one another in development as well as in everyday problems. We have a vibrant and dynamic team with impeccable communications, problem solving, and technical skills. We..."
Owlspro,"Design Services • Sylhet, Bangladesh",846 followers,"We provides different kind of IT Services like Graphic Design, Web Design & Development, Digital Marketing, Mobile Apps Development & Software Development, Computer IT Training etc."
Esolve International Limited,Environmental Services,767 followers,"...experience in many countries: USA, UK, France, Netherlands, Germany, Turkey, UAE, Bahrain, Bangladesh, India, Myanmar, Malaysia and Australia.  Our clients include..."
Coders Lab,IT Services and IT Consulting • Dhaka,784 followers,"At We’re Coders Lab, we are delighted to have started our journey in 2019 herein Bangladesh with the ambition to help people's business needs. We believe that..."
Techyzo,"IT Services and IT Consulting • DHAKA, Dhaka",899 followers,"Techyzo provides the best IT services for your company. Our services include website development, Domain & Hosting, Graphics and Animation, Software development, Mobile apps development, Web application development, Digital Marketing Solution, ERP Software Development. Our test engineers are very experienced in both..."
PMaspire Dhaka Office,"Software Development • Dhaka, Dhaka",823 followers,PMaspire dhaka office is the regional branch of PMaspire Singapore helping project aspirants in 100 countries • Specialties: software development
OSS Automation,IT Services and IT Consulting • Dhaka,918 followers,"Optimum Solution and Services Ltd. (OSS) is a global technology solution provider offering progressive end-to-end software development, mobile application..."
Egens Lab,"Software Development • Dhaka, Dhaka",842 followers,"Egens Lab is a web-based development company. We are building WordPress-based products such as WP Themes, Plugins, Html Templates, and Saas-Based Software. And much more that help businesses grow at scale!   Our success stems from creating fantastic service for our customers, and we expand by improving the quality..."
MegamindIT Software Solutions,"IT Services and IT Consulting • Dhaka, Tejgaon",539 followers,"MegamindIT is a website and software development company. Our service's website design and development, software etc."
HAQUE CONSULTANCY LTD.,"Legal Services • MIRPUR, DHAKA",848 followers,"HAQUE CONSULTANCY LTD. AN EXPERT  FOR COMPANY, PARTNERSHIP FIRM, NGO, SOCIETY, TRUST, FOUNDATION REGISTRATION IN BD • Specialties: EXPORT- IMPORT LICENCE IN BANGLADESH"
Kento Studios Ltd.,"Design Services • Dhaka, Bangladesh",808 followers,"Kento Studios LTD, headquartered in Dhaka, Bangladesh is a digital entertainment and software development company dedicated to develop engaging and fun to play..."
EverExpert,"Software Development • Dhaka, Dhaka",787 followers,"In EverExpert we develop Web Applications, Mobile Application, Desktop Application and we cook them nicely with excellent User Interface using Python, NodeJS, PHP, Angularjs, ReactJS, MySQL, PostgreSQL, MongoDB. And We maintain the app with cloud server( Amazon Web Service and Digital Ocean).In Software Development..."
MultiTech Systems,"Software Development • Dhaka, Dhaka",672 followers,"Providing our clients with the most optimal, cost-effective, and robust solutions, which contribute to an increase in the returns and productivity of their businesses and Becoming a service provider of choice for our every client by outperforming our direct competition in the quality, efficiency, and diversity..."
Star Computer Systems Limited,IT Services and IT Consulting • Dhaka,690 followers,SCSL is one of the leading ICT solutions and services providers in Bangladesh having ISO-27001:2013 certification. SCSL combines functional technology...
CTrends Software & Services Ltd.,Software Development • Dhaka,606 followers,CTrends Software & Services Limited is a software development firm which focuses on business innovations.    We are dedicated to bring fresh thoughts...
Devnet Limited,IT Services and IT Consulting • Dhaka,753 followers,Changing The Way We Work • Specialties: Software Development
Babylon Resources Limited,"Information Technology & Services • Dhaka, Dhaka",603 followers,...‘Babylon Group’. It was founded by some young entrepreneurs in 1986 to serve Bangladesh garment sector. They dreamed of a start-up and succeeded to make an enterprise.
Getweb Limited,"IT Services and IT Consulting • 23/6, Rupayan Shelford (16th floor) Mirpur road, Shyamoly, Dhaka 1207, Dhaka",657 followers,Specialties: Software Development
IBIZN,"Software Development • Dhaka, Dhaka",771 followers,"Welcome to IBIZN, your trusted partner in the world of Software as a Service (SaaS). We are dedicated to helping businesses thrive through innovative SaaS solutions that drive growth, enhance efficiency, and foster success.  🔍 About Us: IBIZN is a dynamic software company committed to delivering tailored SaaS..."
Evolve BD Labs,"IT Services and IT Consulting • 5th floor, Flat 5B, Dhaka",826 followers,"EvolveBD offers end-to-end software development, data analytics, AI'/ML/Automation and cloud solutions for Startup and mature organizations.    Application Development:  Want to build your application from scratch or need help with scaling your application for the mass, be assured you are in good hands. We have..."
Generation Net Limited,"IT Services and IT Consulting • Niketon, Gulshan-1, Dhaka, Dhaka",798 followers,"...and Software Development solutions in the competitive global marketplace. Our professional, flexible and integrated process reflects in what we do. We always..."
PRIMEX Information Systems Limited,"Information Technology & Services • Dhanmondi, Dhaka",834 followers,...of: Concept based Web design and Development Web promotion (Search  Engine Optimization) Software Application Development ( Web based Applications E-Commerce...
alkawsir.com (Digital Marketing Expert ),"Public Relations and Communications Services • Dhaka, Gulshan,Badda",799 followers,.... SMS Marketing 8. E-mail Marketing 9. Data collection 10. Apps Development 11. Software Development. (custom) 12.Search Engine Optimization (SEO) 13. Online...
CyberNetikz,"IT Services and IT Consulting • Dhaka, Dhaka",710 followers,Specialties: Software Development
Interlink TechSoft Limited,"Software Development • Dhaka, Dhaka",744 followers,"...established a reputation for excellence in software development, web development, mobile application development, e-commerce solutions, and cloud-based solutions. Interlink Tech Soft Ltd. is headquartered in Dubai, United Arab Emirates, with additional offices in the United Kingdom and the Bangladesh."
Diligite,"Software Development • Dhanmondi, Dhaka",837 followers,"Diligite, an innovation-focused software company of highly experienced people having expertise in diverse platforms offering high-end prototyping services which helps to ensure that product is market-ready. We assist with critical decisions that occur during the design and development of hardware and software..."
CZAR Gaming Private Limited,"Information Technology & Services • Secunderabad, Telangana",710 followers,"...of delivering the winning feeling to the World.   We are an Agile development company working in a highly regulated world, deploying software at scale to a..."
Tech Solutions 3Sixty,IT Services and IT Consulting • Dhaka,870 followers,"..., we develop innovative and creative software and services that provide a One View of the Business for the customers. Among a plethora of services, software..."
Teleserv BPO,"Outsourcing and Offshoring Consulting • Dhaka, Dhaka",770 followers,Elevated Outsourcing • Specialties: Software Development
The Tech Academy,"Education Administration Programs • Dhaka, Dhaka",860 followers,...through their curriculum that includes: Software development via PROCESSING IDE ( An open source programming developed at the MIT Media Lab) & Hardware Automation...
Valorwide Limited,"Software Development • Khulna , Sonadanga",719 followers,"Valorwide is an innovative software development company. Valorwide is a creative mobile app and web development company delivering Web development services of any complexity to clients worldwide. A global leader in next-generation digital services.  We design and develop custom software solutions, web applications..."
Dropndot Solutions,"Software Development • Dhaka, Dhaka",834 followers,"We are team of five who are highly experienced on software and web developing. We are providing some services such as web design, web application development, Software interface design and development, and web solution using different open source software. We are planning to extend our product and service line. I hope..."
Titan Technologies Ltd,IT Services and IT Consulting • Dhaka,868 followers,Titan Technologies Ltd is a 360 software development company that specializes in making robust software systems for businesses and consumer markets. Our solutions focus on simplicity and effectiveness.
CW Ticketing System,Software Development • Dhaka,758 followers,"The CW Ticketing System allows you to simply book tickets online, which helps your travel business to grow. Only an advanced web and mobile based system can book tickets and deliver real-time updates in such a short time. Our CW ticketing system is available in a number of countries, including the United States..."
RoseTech Solutions Ltd.,IT Services and IT Consulting • Dhaka,798 followers,"...organizations.  At RoseTech, we believe in utilizing technology to drive business growth. We offer a wide range of services, including custom software development, mobile..."
The Virtual BD,"IT Services and IT Consulting • Khulna, Head-Office",741 followers,"We are a passionate, results-oriented digital marketing team based in Bangladesh. We provide end-to-end website design, development & digital marketing..."
Solvepanda,"IT Services and IT Consulting • Dhaka, DIT Road",757 followers,"Hello there, Welcome to Solvepanda. Solvepanda is a Software Company that provides high-quality and professional Software development services. We are working in the software industry market since 2018. Our maximum clients are based in Europe and America. We also working in Bangladesh. There have some small startup..."
Softozet Limited,"Advertising Services • Banani, Dhaka",826 followers,"Softozet Limited is a powerhouse in driving global business growth through our exceptional software development and digital marketing solutions. With a dedicated focus on excellence, we specialize in crafting bespoke software tailored to meet the unique needs of our clients. Our team of expert developers utilizes..."
MIT Park Ltd,IT Services and IT Consulting • Bogura,297 followers,"MIT Park is a global IT service provider based in Bangladesh. We offer you all the IT services in one place so that you don’t have to run here and there to get different services. We have categorized our experts in multiple sections such as software and mobile application development, web development, e-commerce..."
YES Tech Limited,"IT Services and IT Consulting • Dhaka, Dhaka",870 followers,"Yes Tech Limited is an ICT company based in Bangladesh. We are working for ICT Training, Software Development, Web Design, Web Hosting, Web Application Development, Cross Platform Mobile Application Development, Graphics Design and IT Consultancy."
Nexlent - Software Development Agency,"Software Development • Dhaka, Dhaka",430 followers,"...through cutting-edge web and mobile software development and SaaS applications. Our passionate team of experts is dedicated to helping businesses of all sizes thrive in the digital age.  🚀 With a focus on innovation and technology, we empower companies to streamline operations, enhance customer experiences..."
CIS Tech Ltd.,Software Development • Dhaka,709 followers,"...of experience, we know that every business has a different software and hardware environment. We specialize in the development of scalable and reliable software..."
CodeMoly,"Software Development • Dhaka, Dhaka",572 followers,SaaS Development | Ecommerce Development | Software Development
Tech Lab33 Ltd.,"IT System Custom Software Development • Dhaka, Bangladesh, Dhaka",627 followers,"...exceed expectations. In the world of web design and development in Bangladesh, Tech Lab 33 Limited stands as the epitome of excellence. Our team of skilled..."
Reckon Technologies Ltd.,Software Development • Dhaka,867 followers,"Reckon Technologies Ltd. is a leading IT & software firm, specializing in software development, Salesforce consulting, and managed IT services for both..."
Right Brain Solution Ltd,"IT Services and IT Consulting • Dhaka, Dhaka",727 followers,"RIght Brain Solution is a software company based on Dhaka, Bangladesh. We develop high quality software solutions for clients in home and abroad. Our teams are comprised of passionate professionals who not only deliver quality software but also actively participate in community sharing. We love what we do and do that..."
Datadoat,IT Services and IT Consulting • Dhaka,865 followers,"Our Services: Website Development, Mobile App Development, Software Development, Website Platforms Development, Customization and more.  Hit us a message on Whatsapp to start building."
Ztrios Tech & Marketing,"Software Development • Uttara, Dhaka",720 followers,"Ztrios Tech & Marketing is a Software Development and Marketing Solution Company in Bangladesh. Bring your ideas to life with the help of our technology team. We are here to automate your business in a larger scale. We are not just an IT Company, we are an all-in-one Business Solution Package."
Desktop IT,"IT Services and IT Consulting • Dhaka, Dhaka",780 followers,"...and experienced hands to offer the most user-friendly customized solutions. Desktop IT provides high-quality on-site services for software development and the end users on a broad range of hardware & software platforms and latest technologies. Within these years of its operations, Desktop IT has carved a niche for itself in the IT..."
iTech Softsolutions,IT Services and IT Consulting • Khulna,645 followers,"Itech-Softsolutions, a software firm based in Bangladesh, launched its journey in 2015 in the vibrant city of Khulna. Since then, we've been on a global..."
Nebulae-Soft,IT System Custom Software Development • Dhaka,513 followers,We unlock the mysteries of the software solution universe • Specialties: Custom Software Development
CodeClub IT Solutions,Software Development • Dhaka,721 followers,"CodeClub IT Solutions is a fast-growing IT company in Bangladesh. This company starting its IT Services journey in 2022. In these years, We served IT-related services like Software Development, Web Development, Apps Development, E-commerce Solutions, Graphics Design, Video Editing, Search Engine Optimization (SEO..."
Kinoyee IT,"IT Services and IT Consulting • Dhaka, Bangladesh, Dhaka",767 followers,"Kinoyee IT is more than just a software development company. We are a partner in our client's growth and success journey. Our commitment to excellence, innovation and customer satisfaction has earned us the trust of businesses in the digital industry and beyond. Whether it's developing cutting-edge software, creating..."
Encoder IT Limited,"Software Development • Dhaka, Dhaka",757 followers,Encoder IT Limited is a software development firm. It has started its Journey on 16th December 2018. Our main focus is software development.
Builder Hall Ltd,IT Services and IT Consulting • Dhaka,747 followers,"Builder Hall is a leading software, mobile app, web development, digital marketing, and graphic design company from Bangladesh that utilizes – the latest technology, creative design, and optimized business strategy to help businesses grow their brand. We work in collaboration with our clients to cultivate a strategy..."
HeavyTask,"IT Services and IT Consulting • Dallas, TX",483 followers,"We create solutions for complex issues and challenges that business enterprises encounter daily. Our innovative team consists of pioneers in developing custom websites, enterprise software, mobile applications, and diverse digital products."
Cyberneticsbd,"IT Services and IT Consulting • Chattogram, Chattogram",756 followers,"Cybernetics Bangladesh is a technology firm that provides cloud and mobile ERP solutions to businesses in Retail, Restaurant, and Distribution.  We were founded in 2018 to assist businesses in embracing agility and digital transformation in order to remain competitive in a rapidly changing business environment. We..."
D-Bug Station Limited,"Software Development • Dhaka, DH",721 followers,"D-bug Station is a Software design & development company located in Dhaka Bangladesh, We do provide technical & engineering solutions for helping local & international companies & agencies. We are providing development support since 2014."
ABM TEKSYSTEMS INC,"Software Development •  230 Pulaski St  Wilkes-Barre Township, PA",536 followers,Service for Small to Mid-Sized Business • Specialties: Software Development
W3ASolution - Complete IT Solution,"IT Services and IT Consulting • Dhaka, Bangladesh",706 followers,"W3aSolution is a skilled and creative web design firm specializing in compelling website designs, web application development, and certified WordPress Specialists. To improve your online visibility, we provide UI/UX design, web application development, SEO services, and logo creation. W3aSolution also specializes in..."
SecureSoft,"Software Development • Savar, Ashulia, Dhaka",678 followers,"SecureSoftBD is one of the promising Software, Web application, Mobile application & Game development companies of Bangladesh, which aims at creating a new standard in the era of software technology."
ATL,"Outsourcing and Offshoring Consulting • Dhaka, Dhaka",720 followers,"We are an IT & BPO (Business Process Outsourcing) company.  The company has two wings: - ATL- Software Development and Technology services unit - ATL- BPO (Business Process Outsourcing) unit  ATL Software Development and Technology services uses its talents to build and serve with ERP systems, web-based e-commerce..."
websitesbd.com,IT System Custom Software Development • Dhaka,862 followers,One of the top online software & apps service provider from Bangladesh to worldwide.  Now the days everything is required globalization. Web programming is most attractive choice for most companies who want to save their time and money.    We also serve the following fields    Web Development Web Site Rent  Domain...
Durbin Labs Limited,"Software Development • Dhaka, Mirpur",710 followers,...and development. We developed first online career counseling platform for Bangladeshi youths. In addition we have also developed an educational documentary for underprivileged students of Bangladesh. We severed thousands of youths in developing their ICT skills for generating their economic engine. Last but not the least we...
Label My Data,IT System Data Services • Dhaka,592 followers,Data For AI | Data Collection | Medical Data | Data Labeling |Annotation | AI Project | AI Chatbot | LLM • Specialties: Software Development
DevTechGuru,"IT Services and IT Consulting • Dhaka, Dhaka",630 followers,"A tech startup in Dhaka specializing in Fintech, ERP software, Payment Software, Banking Apps and Machine Learning."
EcoSoftBD,Software Development • Dhaka,689 followers,EcoSoftBD IT Ltd. is the leading Fintech in the stock market industry in Bangladesh. We have revolutionized the stock market industry by providing the first...
LuminousLabs,"Software Development • Mirpur DOHS, Dhaka",756 followers,"Luminous Labs starts its journey with the ICT business in October 2016. Understanding the demand of this Digital Era, we started this company in Dhaka, Bangladesh. Luminous Labs is an independent software development and consulting company."
Nogor Solutions Limited,"IT Services and IT Consulting • Gulshan 1, Dhaka",762 followers,"Nogor Solutions Ltd is an ICT Solution Service provider along with website & software development Firm inside Bangladesh preserved by a number of professionals involved in Software Improvement, Freelancing as well as BPO services."
XPONENT InfoSystem (PVT) Limited,"IT Services and IT Consulting • Chittagong, NA",632 followers,...clients.  We know how valuable our clients and their success for our business .   Fast Facts: *)  Established in 2002 as local software development company *) From...
Ayaan Tech Limited,IT Services and IT Consulting • Dhaka,694 followers,"Ayaan Tech Limited is the best IT solution provider Company in Dhaka, Bangladesh. Based on scalable Start-up strategy it’s moving forward. We develop, Graphics..."
Trends Bird Limited,"Software Development • Dhaka, Dhaka",643 followers,"Trends Bird Limited is a software development Company, specializing in software development, mobile app development, website development, digital marketing & designing. Trends Bird Limited is a Bangladeshi Company located in Dhaka, Bangladesh. Established in January 2012. The Company has been promoted by some highly..."
AdsPillar,"Advertising Services • Khulna, Khulna",724 followers,"A performance-driven Digital Marketing Company offering high-end Online Advertising, SEO, and Web Design services • Specialties: software development"
MOMODa FOUNDATION,"Non-profit Organizations • Dhaka, Dhaka",730 followers,"...working in both rural and urban Bangladesh since 2011. Along with five on-going projects, it has successfully implemented several action research projects in..."
CMT International LTD,Software Development • Dhaka,678 followers,"CMT INTERNATIONAL LTD. is a privately held Limited company registered under Joint Stock of Bangladesh. We also provide IT Consultancy, Domain & Hosting, Web & Mobile Apps Development, and Business Management software services in Bangladesh and globally."
NBY IT SOLUTION,"Information Technology & Services • Moghbazar, Dhaka",566 followers,".... Currently, we are providing all types of 3D modeling, Clipping path, Graphic design,  web, and software development. We have highly skilled and experienced..."
PawkyTech,Information Technology & Services • Dhaka,660 followers,"...Design, Web Development, Software Development, Software Testing,  App Development, Game Development, Shopify Development, WooCommerce Development,   Search Engine..."
O'Dell Tech,Software Development • Dhaka,654 followers,"Odelltech is cutting edge it solution company in Bangladesh . We are provide web based and AI, IOT, Data science & Data analytics solution."
Deoxys Workshop Limited,"IT Services and IT Consulting • Leeds, England",723 followers,"Deoxys Workshop Limited, a leading software company dedicated to delivering cutting-edge solutions to empower businesses across the globe. With a commitment to innovation, reliability, and excellence, we have been at the forefront of software development services.  At Deoxys Workshop, we offer a wide range of software..."
CodeforHost Inc,"IT Services and IT Consulting • Dhaka, Dhaka",638 followers,"Empowering Your Online Success with Reliable Web Hosting Solutions—Host your data forever, your Hostever • Specialties: Web Development"
MAPLE IT SOLUTIONS,Information Technology & Services • Dhaka,651 followers,"WHO WE ARE:  MAPLE IT SOLUTIONS is an innovative IT Outsourcing Company. We are specialized in outsource like Software Development or Customization, Android, IOS, Software Quality Assurance Tester, IT Support and Software Maintenance Service, Cloud Service, System Integration, Mobile Application Development Service..."
Annonlab,Software Development • Dhaka,751 followers,"We are software boutique based in Dhaka, Bangladesh aims at building software solutions that helps businesses to automate their process and reduce human efforts. We deploy word-class agile product development team on demand. Teams that can design, build, ship and scale your vision in most efficient way."
Invogue Software Limited,"Software Development • Dhaka, Dhaka",483 followers,"InvogueSoft is a software development company; we provide innovative solution for Business Software, Web Development, Graphics and Mobile Apps.      InvogueSoft focuses on developing modular, integrated, and customizable software for small and medium enterprises.  With our business applications you will be able..."
Face of Art Technologies,"Software Development • Dhaka, Bangladesh",658 followers,Face of Art Technologies  is Establish and Well Known Software Company in Bangladesh. Career Learning provides live
Automation Services Ltd,"IT Services and IT Consulting • Dhaka, Gulshan-1",729 followers,...and services to meet your requirements. We provide the optimum and customized solutions made for your organization. ASL began its business operation as a software solutions providing company in January 2017. ASL is focusing exclusively in high quality and cost-effective software development and implementation of services. We...
ATC Tech Ltd,"Software Development • Dhaka, Nikunja-2, Khilkhet, Dhaka",626 followers,"...partnerships. ATC Tech Ltd. delivers tailored technology solutions, from software development to AI and cloud services, empowering Businesses to thrive in..."
Nelsis Group,"Software Development • Dhaka, Dhaka",627 followers,"Nelsis Limited is Your trusted partner for comprehensive IT solutions. We specialize in IT consulting, ERP Solutions, development, Software Development, eCommerce solutions, and Digital Marketing Support."
